Exercise,Link,Type,Muscle,Category,Target,Beginners
Decline ab crunch,https://youtu.be/kLh-uczlPLg?si=AeWeYbM5JguGWmz6,Gym,Abs,Isolation,Lower abs,No
Hanging leg raises,https://youtu.be/7FwGZ8qY5OU?si=21smaP9eTB1mJFRL,Gym,Abs,Isolation,Lower abs,No
Back supported leg raises,https://youtu.be/FSXXv8BL-yg?si=Di5HFah66OiBCZUv,Gym,Abs,Isolation,Lower abs,Yes
Knee bends on decline bench,https://youtu.be/wJnn_Y3tVhE?si=HPXp0QxQTwly9E06,Gym,Abs,Isolation,Lower abs,No
Leg raises on decline bench,https://youtu.be/b_6BdouMVc0?si=02zAy17ojo_32uZG,Gym,Abs,Isolation,Lower abs,No
Leg raises on incline bench easy version,https://youtu.be/3WbEUWavHtE?si=yrU7tCfj33S2fQFN,Gym,Abs,Isolation,Lower abs,No
Side bends with resistance,https://youtu.be/M0KGYdsKVPM?si=WhoLoSLlGw_6zfiB,Gym,Abs,Isolation,Obliques,No
Side leg raises,https://youtu.be/DA4FVJH2PnU?si=HuF5qBFCpRAyMxTZ,Home,Abs,Isolation,Obliques,Yes
Side planks,https://youtu.be/tbWPBOgju9g?si=pgxWLZ-Pwhy93xsi,Home,Abs,Isolation,Obliques,Yes
Rope crunch,https://youtu.be/b9FJ4hIK3pI?si=0JG9PmaRfhAXppFR,Gym,Abs,Isolation,Overall abs,No
Ab machine crunch,https://youtu.be/fuPFq2EYswE?si=B5T8pEPZd5BXEWJB,Gym,Abs,Isolation,Overall abs,No
Ab rollers,https://youtu.be/SBO5aFR09D4?si=VMMN47H08P6kqm2j,Gym,Abs,Isolation,Overall abs,No
Lying leg raise,https://youtu.be/Wp4BlxcFTkE?si=abAtQp_6Lfylu2uh,Home,Abs,Isolation,Overall abs,Yes
Planks,https://youtu.be/q4rDeHYMcIg?si=aTjnJGTmkcUQ6Uvq,Home,Abs,Isolation,Overall abs,Yes
Mountain climbers,https://youtu.be/kLh-uczlPLg?si=AeWeYbM5JguGWmz6,Home,Abs,Isolation,Overall abs,Yes
Scissor kicks,https://youtu.be/ap4DqnKmrqc?si=LumKLkmV70mgEZvL,Home,Abs,Isolation,Overall abs,Yes
Leg raise and hold,https://youtu.be/fqzMd87uNTI?si=JAkQnjaQjPdpw4j-,Home,Abs,Isolation,Overall abs,Yes
Vacuum,https://youtu.be/f2PliOQHQ4c?si=tqmCJ2P6DidwclcP,Home,Abs,Isolation,Overall abs,Yes
Hold leg raises in the air till failure,https://youtu.be/fqzMd87uNTI?si=JAkQnjaQjPdpw4j-,Home,Abs,Isolation,Overall abs,Yes
Sit ups,https://youtu.be/onaQ0v_J5uU?si=IvmWgWuJ7UgIg_8E,Home,Abs,Isolation,Upper abs,Yes
Single arm dumbbell row,https://youtu.be/DMo3HJoawrU?si=TKrJrB6UhWc0KHvM,Gym,Back,Compound,Lats,Yes
Back Hyperextensions,https://youtu.be/qtjJUWCnDyE?si=fJNRchl1s2DKcfsy,Gym,Back,Isolation,Lower back,Yes
Seated cable rows,https://youtu.be/lJoozxC0Rns?si=-MKhqR2_aR4uE6Lu,Gym,Back,Isolation,Mid back,Yes
Single arm cable rows,https://youtu.be/1jN6qeXdvWA?si=om3N9VfPLguG-Na-,Gym,Back,Isolation,Mid back,Yes
V Bar Pull downs,https://youtu.be/gNFMkFL5yPQ?si=gfl3GHWEnXWLbOUO,Gym,Back,Isolation,Mid back,Yes
Resistance band seated row,https://www.youtube.com/watch?v=yIF-3TG1wgM,Home,Back,Isolation,Mid back,Yes
Rack Pulls ,https://youtu.be/9vYBWV5OeKg?si=3EcNxA4cupZRmuU2,Gym,Back,Compound,Overall back,No
Bent over rows,https://www.youtube.com/watch?v=9Gf-Ourup_k,Gym,Back,Compound,Overall back,No
T-Bar Rows,https://youtu.be/hYo72r8Ivso?si=0lq_KaGabsL4crG8,Gym,Back,Compound,Overall back,No
Deadlifts,https://youtube.com/shorts/McCDaAsSeRc?si=zqTqXzRQ30E95wgt,Gym,Back,Compound,Overall back,No
Chest supported dumbbell rows,https://youtu.be/0-DXJiceG-0?si=g8Dz_KeXdp_qPiVj,Gym,Back,Compound,Overall back,Yes
Chest supported T-Bar Rows,https://youtu.be/in1F5d21vLk?si=tXyD8Anhn5xIGwHm,Gym,Back,Compound,Overall back,Yes
Back straight arm pull downs,https://youtu.be/ey9Fv3FGrRg?si=v694pyqSGYGP9yUZ,Gym,Back,Isolation,Overall back,Yes
Back rope arm pull downs,https://youtu.be/CqsO1bQl9QI?si=Hs4rdkDy2zGTkIpC,Gym,Back,Isolation,Overall back,Yes
Resistance band bent over row,https://www.youtube.com/watch?v=TE3v7CgXiiI,Home,Back,Compound,Overall back,Yes
Inverted pull ups,https://youtu.be/9fItzuh9Iok?si=Bv5e_UsnEOdMU9Fp,Gym,Back,Compound,Upper back/lats,Yes
Lat pull downs (overhand grip),https://youtu.be/JGeRYIZdojU?si=RyNUT_7TrgicjOog,Gym,Back,Isolation,Upper back/lats,Yes
Lat pull downs (underhand grip),https://youtu.be/SNiwpA13ZLU?si=aIqegnZRSkVwJTKm,Gym,Back,Isolation,Upper back/lats,Yes
Single arm cable pull downs,https://youtu.be/HBC5s98wXko?si=ncX5MRXLqQMdtdgP,Gym,Back,Isolation,Upper back/lats,Yes
Pull ups,https://youtube.com/shorts/ZPG8OsHKXLw?si=lPlTzA_PTyjToPS0,Gym,Back,Compound,Upper back/lats,No
Superman banded row,https://www.youtube.com/watch?v=cvGqLu097MA,Home,Back,Isolation,Upper back/lats,Yes
Resistance band lat pull down,https://www.youtube.com/watch?v=eItdYA8i5ec,Home,Back,Isolation,Upper back/lats,Yes
Incline dumbbell curl (bench),https://www.youtube.com/watch?v=FM7725AeXPA,Gym,Biceps,Isolation,Overall biceps,No
Barbell curl straight bar,https://www.youtube.com/watch?v=dDI8ClxRS04,Gym,Biceps,Isolation,Overall biceps,Yes
Bicep Standing alternate dumbbell curl,https://youtube.com/shorts/FHY_2t7R714?si=HNz-fOnQg83NpZHj,Gym,Biceps,Isolation,Overall biceps,Yes
Barbell curl EZ (Curl) bar,https://www.youtube.com/watch?v=S_i3SEVgKWU,Gym,Biceps,Isolation,Overall biceps,Yes
Reverse EZ bar curl - hammer,https://www.youtube.com/shorts/zuUo-wwFQGw,Gym,Biceps,Isolation,Overall biceps,No
Hammer Curl,https://www.youtube.com/watch?v=0IAM2YtviQY,Gym,Biceps,Isolation,Overall biceps,Yes
Barbell preacher curl,https://www.youtube.com/watch?v=RgN216Cumtw,Gym,Biceps,Isolation,Overall biceps,No
Dumbbell preacher curl,https://www.youtube.com/watch?v=WK5yZMlgMb4,Gym,Biceps,Isolation,Overall biceps,Yes
Machine preacher curl,https://www.youtube.com/watch?v=TV14-w3vXkk,Gym,Biceps,Isolation,Overall biceps,Yes
Dumbbell concentration curl - preacher,https://www.youtube.com/watch?v=ZcU2hN76UyA,Gym,Biceps,Isolation,Overall biceps,No
Bicep rope curl - hammer,https://www.youtube.com/watch?v=V8AR3SGzboU,Gym,Biceps,Isolation,Overall biceps,No
Bicep single arm cable curl,https://www.youtube.com/shorts/6sO-pK7pTPs,Gym,Biceps,Isolation,Overall biceps,Yes
Bicep cable curls (both arms),https://www.youtube.com/watch?v=F3Y03RnVY8Y,Gym,Biceps,Isolation,Overall biceps,Yes
Resistance band concentration curls,https://www.youtube.com/watch?v=uej9usJAIUw,Home,Biceps,Isolation,Overall biceps,Yes
Resistance band bicep curls,https://youtu.be/AaA7Yj3zHiU?si=xLq917WKa2qDzJ8t,Home,Biceps,Isolation,Overall biceps,Yes
Resistance band hammer curls,https://youtu.be/SniJo-6t7Gk?si=j8xSMCT8joCvwvCR,Home,Biceps,Isolation,Overall biceps,Yes
Decline Barbell Bench Press,https://youtu.be/iVh4B5bJ5OI?si=adR1mOz6sDhAoDZx,Gym,Chest,Compound,Lower chest,No
Decline Dumbbell Bench Press,https://www.youtube.com/watch?v=Pf1nDoqx_1A,Gym,Chest,Compound,Lower chest,No
Chest dips,https://youtu.be/4la6BkUBLgo?si=-4nXlpmqzMIwX52O,Gym,Chest,Compound,Lower chest,No
Cable crossover – Decline chest,https://youtu.be/hhruLxo9yZU?si=UAS46zfrZ2oypmn4,Gym,Chest,Isolation,Lower chest,Yes
Resistance band decline flies,https://www.youtube.com/watch?v=9Moyb6fbJlc,Home,Chest,Isolation,Lower chest,Yes
Incline push up,https://www.youtube.com/watch?v=yAbg3_pJKvw,Home,Chest,Compound,Lower chest,Yes
Flat Barbell Bench Press,https://youtu.be/CjHIKDQ4RQo?si=fPtig6PnwmNmvEjH,Gym,Chest,Compound,Mid chest,No
Smith Machine Flat Bench press,https://www.youtube.com/watch?v=O5viuEPDXKY,Gym,Chest,Compound,Mid chest,Yes
Flat Dumbbell Bench Press,https://youtu.be/YQ2s_Y7g5Qk?si=RbsCWjtNndrpBl8B,Gym,Chest,Compound,Mid chest,No
Cable crossover – mid chest,https://youtu.be/p0JsZxA5GxU?si=P2gzj_t0NWkdC74U,Gym,Chest,Isolation,Mid chest,No
Chest machine press,https://youtu.be/sqNwDkUU_Ps?si=L15DkAv6mE06qQ4p,Gym,Chest,Isolation,Mid chest,Yes
Cable flies on straight bench,https://youtu.be/m2VICOCWDA0?si=OxsOMEVi9DexJQCY,Gym,Chest,Isolation,Mid chest,No
Pec Deck Flies,https://youtu.be/eGjt4lk6g34?si=8AdkB1_BlO96Mat3,Gym,Chest,Isolation,Overall chest,Yes
Dumbbell pull over,https://youtu.be/CmgP3fDguaM?si=FxaqqDcnaMTaBJU3,Gym,Chest,Compound,Overall chest,No
Resistance band floor press,https://www.youtube.com/watch?v=dnviBQFAphE,Home,Chest,Compound,Overall chest,Yes
Resistance band lying chest flies,https://youtube.com/shorts/e2qxfifLb_Q?si=jsUC0mQ81GRSqs6Y,Home,Chest,Isolation,Overall chest,Yes
Kneeling push ups,https://www.youtube.com/watch?v=rR1efh-33AQ,Home,Chest,Compound,Overall chest,Yes
Standard push ups,https://www.youtube.com/watch?v=0Qb9S8laqco,Home,Chest,Compound,Overall chest,Yes
